id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),100,198082,1,"['Justin Bieber', 'Daniel Caesar', 'Giveon']","['1uNFoZAHBGtllmzznpCI3s', '20wkVLutqVOYrc0kxFs7rA', '4fxd5Ee7UefO4CUXgwJ7IP']",3/19/2021,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4
7lPN2DXiMsVn7XUKtOW1CS,drivers license,99,242014,1,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],1/8/2021,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31E-05,0.105,0.132,143.874,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,98,132780,0,['Masked Wolf'],['1uU7g3DNSbsu0QjSEqZtEd'],1/6/2021,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4
5QO79kh1waicV47BqGRL3g,Save Your Tears,97,215627,1,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],3/20/2020,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,4
6tDDoYIxWvMLTdKpjFkc1B,telepatÃ­a,97,160191,0,['Kali Uchis'],['1U1el3k54VvEUzo3ybLPlM'],12/4/2020,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,4
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,96,200040,0,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],3/20/2020,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,96,242096,0,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']","['0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr']",3/5/2021,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
6f3Slt0GbA2bPZlz0aIFXN,The Business,95,164000,0,['TiÃ«sto'],['2o5jDhtHVPhrJdv3cEQ99Z'],9/16/2020,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,4
60ynsPSSKe6O3sfwRnIBRf,Streets,94,226987,1,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],11/7/2019,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,4
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,94,198371,0,['Giveon'],['4fxd5Ee7UefO4CUXgwJ7IP'],3/27/2020,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02E-06,0.303,0.543,89.087,3
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,94,161385,1,['The Kid LAROI'],['2tIP7SsRs7vjIcLrU85W8J'],11/6/2020,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,4
1xK1Gg9SxG8fy2Ya373oqb,Bandido,94,232853,0,"['Myke Towers', 'Juhn']","['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']",12/10/2020,0.713,0.617,8,-4.637,1,0.0887,0.122,0,0.0962,0.682,168.021,4
7Bk0uXKk1uPT0XuQbpFzvs,Fiel,94,261667,0,"['Los Legendarios', 'Wisin', 'Jhay Cortez']","['0n6sKrG0xKAf8xmdqeNGke', '3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz']",2/4/2021,0.849,0.701,6,-4.407,0,0.06,0.407,0,0.112,0.505,98.005,4
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,94,169153,0,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']","['7i9j813KFoSBMldGqlh2Z1', '1gALaWbNDnwS2ECV09sn2A', '4L2dV3zY7RmkeiNO035Fi0', '3Edve4VIATi0OZngclQlkN']",1/15/2021,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,4
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,93,203201,0,"['Bad Bunny', 'ROSALÃA']","['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']",11/27/2020,0.856,0.618,7,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993,4
